,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-19-10:00,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:01,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:02,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:03,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:04,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:05,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:06,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:07,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:08,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:09,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:10,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:11,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:12,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:13,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:14,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:15,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:16,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:17,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:18,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:19,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:20,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
2016-19-10:21,629.253675,20346645.9028,10.25,86710.487448,0.66952329504,998480.55,1619255.6766,1595.43650794,164281971,406991,15937975.0,10065628111.2
